,yhat1
0,4126.58837890625
1,27747.201171875
2,28637.19140625
3,30950.189453125
4,22202.966796875
5,24536.720703125
6,20188.982421875
7,10040.466796875
8,27024.185546875
9,30703.728515625
10,31480.173828125
11,30689.697265625
12,29335.689453125
13,18681.83984375
14,10435.0126953125
15,27186.193359375
16,29074.736328125
17,32791.578125
18,25465.359375
19,26724.08984375
20,18396.1328125
21,10679.4326171875
22,26339.716796875
23,30191.46875
24,30953.796875
25,29966.232421875
26,29449.591796875
27,18245.251953125
28,10776.0009765625
29,25858.08984375
30,30862.595703125
