fecha,Visitantes totales
2013-1-1,"2338,00"
2013-1-2,"9376,00"
2013-1-3,"9190,00"
2013-1-4,"9523,00"
2013-1-5,"5492,00"
2013-1-6,"3256,00"
2013-1-7,"10349,00"
2013-1-8,"9844,00"
2013-1-9,"10724,00"
2013-1-10,"11075,00"
2013-1-11,"10865,00"
2013-1-12,"6501,00"
2013-1-13,"3169,00"
2013-1-14,"10737,00"
2013-1-15,"10053,00"
2013-1-16,"9953,00"
2013-1-17,"9117,00"
2013-1-18,"10844,00"
2013-1-19,"5428,00"
2013-1-20,"2894,00"
2013-1-21,"7038,00"
2013-1-22,"10719,00"
2013-1-23,"9703,00"
2013-1-24,"9133,00"
2013-1-25,"11083,00"
2013-1-26,"5821,00"
2013-1-27,"3672,00"
2013-1-28,"9921,00"
2013-1-29,"10476,00"
2013-1-30,"10732,00"
2013-1-31,"10784,00"
2013-2-1,"11656,00"
2013-2-2,"5740,00"
2013-2-3,"3205,00"
2013-2-4,"11105,00"
2013-2-5,"11598,00"
2013-2-6,"11005,00"
2013-2-7,"10669,00"
2013-2-8,"11427,00"
2013-2-9,"6249,00"
2013-2-10,"3982,00"
2013-2-11,"11572,00"
2013-2-12,"10821,00"
2013-2-13,"12291,00"
2013-2-14,"12296,00"
2013-2-15,"12739,00"
2013-2-16,"7983,00"
2013-2-17,"4431,00"
2013-2-18,"12893,00"
2013-2-19,"13119,00"
2013-2-20,"13627,00"
2013-2-21,"13232,00"
2013-2-22,"12557,00"
2013-2-23,"6928,00"
2013-2-24,"4743,00"
2013-2-25,"12536,00"
2013-2-26,"13076,00"
2013-2-27,"13523,00"
2013-2-28,"10878,00"
2013-3-1,"6518,00"
2013-3-2,"9275,00"
2013-3-3,"5858,00"
2013-3-4,"14078,00"
2013-3-5,"13995,00"
2013-3-6,"14509,00"
2013-3-7,"14868,00"
2013-3-8,"15117,00"
2013-3-9,"9640,00"
2013-3-10,"6351,00"
2013-3-11,"15591,00"
2013-3-12,"15733,00"
2013-3-13,"14673,00"
2013-3-14,"14604,00"
2013-3-15,"15314,00"
2013-3-16,"10234,00"
2013-3-17,"6300,00"
2013-3-18,"15992,00"
2013-3-19,"15752,00"
2013-3-20,"16998,00"
2013-3-21,"15931,00"
2013-3-22,"15930,00"
2013-3-23,"11757,00"
2013-3-24,"7287,00"
2013-3-25,"17116,00"
2013-3-26,"18678,00"
2013-3-27,"20677,00"
2013-3-28,"11042,00"
2013-3-29,"9837,00"
2013-3-30,"14567,00"
2013-3-31,"8467,00"
2013-4-1,"11703,00"
2013-4-2,"21601,00"
2013-4-3,"19413,00"
2013-4-4,"21069,00"
2013-4-5,"20600,00"
2013-4-6,"14847,00"
2013-4-7,"10114,00"
2013-4-8,"21998,00"
2013-4-9,"20165,00"
2013-4-10,"21247,00"
2013-4-11,"20835,00"
2013-4-12,"21024,00"
2013-4-13,"15741,00"
2013-4-14,"10196,00"
2013-4-15,"21841,00"
2013-4-16,"22048,00"
2013-4-17,"22159,00"
2013-4-18,"21341,00"
2013-4-19,"22632,00"
2013-4-20,"18260,00"
2013-4-21,"11929,00"
2013-4-22,"24453,00"
2013-4-23,"22122,00"
2013-4-24,"24593,00"
2013-4-25,"23886,00"
2013-4-26,"24668,00"
2013-4-27,"15803,00"
2013-4-28,"12329,00"
2013-4-29,"26727,00"
2013-4-30,"23496,00"
2013-5-1,"13096,00"
2013-5-2,"27777,00"
2013-5-3,"29247,00"
2013-5-4,"24672,00"
2013-5-5,"17593,00"
2013-5-6,"30866,00"
2013-5-7,"34905,00"
2013-5-8,"30465,00"
2013-5-9,"33623,00"
2013-5-10,"30834,00"
2013-5-11,"24366,00"
2013-5-12,"20539,00"
2013-5-13,"31118,00"
2013-5-14,"34717,00"
