fecha,Visitantes totales
2013-01-01,2338
2013-01-02,9376
2013-01-03,9190
2013-01-04,9523
2013-01-05,5492
2013-01-06,3256
2013-01-07,10349
2013-01-08,9844
2013-01-09,10724
2013-01-10,11075
2013-01-11,10865
2013-01-12,6501
2013-01-13,3169
2013-01-14,10737
2013-01-15,10053
2013-01-16,9953
2013-01-17,9117
2013-01-18,10844
2013-01-19,5428
2013-01-20,2894
2013-01-21,7038
2013-01-22,10719
2013-01-23,9703
2013-01-24,9133
2013-01-25,11083
2013-01-26,5821
2013-01-27,3672
2013-01-28,9921
2013-01-29,10476
2013-01-30,10732
2013-01-31,10784
2013-02-01,11656
2013-02-02,5740
2013-02-03,3205
2013-02-04,11105
2013-02-05,11598
2013-02-06,11005
2013-02-07,10669
2013-02-08,11427
2013-02-09,6249
2013-02-10,3982
2013-02-11,11572
2013-02-12,10821
2013-02-13,12291
2013-02-14,12296
2013-02-15,12739
2013-02-16,7983
2013-02-17,4431
2013-02-18,12893
2013-02-19,13119
2013-02-20,13627
2013-02-21,13232
2013-02-22,12557
2013-02-23,6928
2013-02-24,4743
2013-02-25,12536
2013-02-26,13076
2013-02-27,13523
2013-02-28,10878
2013-03-01,6518
2013-03-02,9275
2013-03-03,5858
2013-03-04,14078
2013-03-05,13995
2013-03-06,14509
2013-03-07,14868
2013-03-08,15117
2013-03-09,9640
2013-03-10,6351
2013-03-11,15591
2013-03-12,15733
2013-03-13,14673
2013-03-14,14604
2013-03-15,15314
2013-03-16,10234
2013-03-17,6300
2013-03-18,15992
2013-03-19,15752
2013-03-20,16998
2013-03-21,15931
2013-03-22,15930
2013-03-23,11757
2013-03-24,7287
2013-03-25,17116
2013-03-26,18678
2013-03-27,20677
2013-03-28,11042
2013-03-29,9837
2013-03-30,14567
2013-03-31,8467
2013-04-01,11703
2013-04-02,21601
2013-04-03,19413
2013-04-04,21069
2013-04-05,20600
2013-04-06,14847
2013-04-07,10114
2013-04-08,21998
2013-04-09,20165
2013-04-10,21247
2013-04-11,20835
2013-04-12,21024
2013-04-13,15741
2013-04-14,10196
2013-04-15,21841
2013-04-16,22048
2013-04-17,22159
2013-04-18,21341
2013-04-19,22632
2013-04-20,18260
2013-04-21,11929
