fecha,Visitantes totales
2013-01-06,39175
2013-01-13,62527
2013-01-20,59026
2013-01-27,57169
2013-02-03,62514
2013-02-10,66035
2013-02-17,72133
2013-02-24,77099
2013-03-03,71664
2013-03-10,88558
2013-03-17,92449
2013-03-24,99647
2013-03-31,100384
2013-04-07,119347
2013-04-14,131206
2013-04-21,140210
2013-04-28,147854
2013-05-05,162608
2013-05-12,205598
2013-05-19,220593
2013-05-26,229946
2013-06-02,232249
2013-06-09,233599
2013-06-16,224105
2013-06-23,243367
2013-06-30,257888
2013-07-07,251754
2013-07-14,269444
2013-07-21,261479
2013-07-28,265965
2013-08-04,276490
2013-08-11,286447
2013-08-18,276832
2013-08-25,293954
2013-09-01,272328
2013-09-08,278974
2013-09-15,266212
2013-09-22,267807
2013-09-29,262858
2013-10-06,239377
2013-10-13,240270
2013-10-20,201408
2013-10-27,168956
2013-11-03,118362
2013-11-10,77879
2013-11-17,68518
2013-11-24,63475
2013-12-01,60048
2013-12-08,55791
2013-12-15,62424
2013-12-22,59088
2013-12-29,42585
2014-01-05,47548
2014-01-12,54954
2014-01-19,60097
2014-01-26,57859
2014-02-02,61559
2014-02-09,64875
2014-02-16,71084
2014-02-23,77573
2014-03-02,80052
2014-03-09,91366
2014-03-16,98062
2014-03-23,100442
2014-03-30,102467
2014-04-06,112689
2014-04-13,135409
2014-04-20,131041
2014-04-27,141387
2014-05-04,163790
2014-05-11,194657
2014-05-18,213678
2014-05-25,210777
2014-06-01,223731
2014-06-08,227773
2014-06-15,231676
2014-06-22,243363
2014-06-29,257357
2014-07-06,247824
2014-07-13,264401
2014-07-20,273309
2014-07-27,280995
2014-08-03,298304
2014-08-10,300067
2014-08-17,306668
2014-08-24,294471
2014-08-31,272796
2014-09-07,266504
2014-09-14,258819
2014-09-21,257431
2014-09-28,254400
2014-10-05,237831
2014-10-12,221325
2014-10-19,197669
2014-10-26,173068
2014-11-02,126025
2014-11-09,78169
2014-11-16,73089
2014-11-23,69971
2014-11-30,65278
2014-12-07,60720
2014-12-14,56591
2014-12-21,62263
2014-12-28,43714
2015-01-04,48474
2015-01-11,53553
2015-01-18,62494
2015-01-25,56289
2015-02-01,60936
2015-02-08,57722
2015-02-15,70305
2015-02-22,74937
2015-03-01,87718
2015-03-08,184609
2015-03-15,185547
2015-03-22,187072
2015-03-29,191891
2015-04-05,179942
2015-04-12,202923
2015-04-19,234852
2015-04-26,244835
2015-05-03,240613
2015-05-10,268870
2015-05-17,297383
2015-05-24,313969
2015-05-31,311239
2015-06-07,307729
2015-06-14,324324
2015-06-21,330070
2015-06-28,324428
2015-07-05,313834
2015-07-12,331843
2015-07-19,345286
2015-07-26,353144
2015-08-02,362084
2015-08-09,349154
2015-08-16,360262
2015-08-23,359239
2015-08-30,340144
2015-09-06,361461
2015-09-13,351884
2015-09-20,350957
2015-09-27,336842
2015-10-04,335163
2015-10-11,339226
2015-10-18,293832
2015-10-25,307168
2015-11-01,236894
2015-11-08,160181
2015-11-15,174025
2015-11-22,171803
2015-11-29,159205
2015-12-06,160975
2015-12-13,127433
2015-12-20,157334
2015-12-27,117243
2016-01-03,110177
2016-01-10,122087
2016-01-17,151084
2016-01-24,141737
2016-01-31,150341
2016-02-07,158433
2016-02-14,167985
2016-02-21,167642
2016-02-28,167060
2016-03-06,153948
2016-03-13,184842
2016-03-20,197137
2016-03-27,184259
2016-04-03,192600
2016-04-10,242011
2016-04-17,246974
2016-04-24,255967
2016-05-01,267131
2016-05-08,299562
2016-05-15,334234
2016-05-22,334869
2016-05-29,336988
2016-06-05,324615
2016-06-12,338826
2016-06-19,341142
2016-06-26,331730
2016-07-03,340737
2016-07-10,360342
2016-07-17,382258
2016-07-24,372867
2016-07-31,376761
2016-08-07,385716
2016-08-14,385573
2016-08-21,358811
2016-08-28,363238
2016-09-04,353682
2016-09-11,363522
2016-09-18,370687
2016-09-25,335029
2016-10-02,367720
2016-10-09,355784
2016-10-16,333322
2016-10-23,336022
2016-10-30,275144
2016-11-06,177340
2016-11-13,183785
2016-11-20,178930
2016-11-27,169215
2016-12-04,163800
2016-12-11,126999
2016-12-18,160893
2016-12-25,131712
2017-01-01,109333
